Datetime,Username,Text
2021-11-29 12:54:14+00:00,AimanWitjaksono,"Faktanya, menurut keterangan mereka, ada sejumlah kelompok pencopet berkeliaran di event balap Mandalika.

Mereka bahkan saling memberi kode agar tak saling mengganggu! https://t.co/7VtLojZRNb"
2021-11-29 12:54:10+00:00,urhuney,Dari jaman kuliah belajar dari ppt ngantukkk banget tp kalo ditulis lagi capekk
2021-11-29 12:54:07+00:00,AimanWitjaksono,"Mandalika memang bukan tempat pertama komplotan copet internasional ini beraksi.

Tangan panjang mereka gesit merogoh kantong para korban. Saat ini, polisi sudah menetapkan 8 tersangka dan diamankan di Polda NTB. https://t.co/cQoi1RGGFe"
2021-11-29 12:54:04+00:00,AimanWitjaksono,"Tapi… tunggu dulu, ternyata ada yang mencuri kesempatan dalam kesempitan.. Copet!

Tapi ini bukan copet sembarang copet. Kelasnya sudah internasional! Saya pun menuju Mandalika, Lombok, NTB untuk menelusurinya. Eksklusif! https://t.co/qEyfT1AOUi"
2021-11-29 12:54:03+00:00,AimanWitjaksono,"Tak heran di hari pertama pelaksanaan #WorldSuperbike 2021 di Sirkuit Mandalika, panitia mengklaim kedatangan 15 ribu penonton. Fantastis! https://t.co/qQTsXPZNBg"
2021-11-29 12:54:01+00:00,AimanWitjaksono,"Desa di Lombok Tengah, Nusa Tenggara Barat, Mandalika ini tengah jadi promadona. Rangkaian event balap internasional sukses digelar di sirkuit baru Mandalika. https://t.co/SbLSQWe0Ww"
2021-11-29 12:53:59+00:00,AimanWitjaksono,"COPET ""HIGH CLASS"" BALAP MANDALIKA

Bukan pencuri biasa. Copet ""High Class"", bermodal jutaan rupiah, berkelompok &amp; melintas antar negara.

Siapa mereka?
Saya mewawancarai #eksklusif komplotan mereka.

#AIMAN @KompasTV @kompascom #Mandalika #wsbk https://t.co/2cQvvOynJX"
2021-11-29 12:48:50+00:00,Fauzixix22,"https://t.co/MIJ8DBEOGf

Monitori terus Pak @jokowi dan
Ibu @KhofifahIP. Rakyatmu juga butuh jalan mulus semulus sirkuit Mandalika."
2021-11-29 12:46:31+00:00,ratpurba,"@detikcom Event balap mandalika dah usai sukses. Formula e sirkuit saja nga jelas dimana, yg pasti ada di kpk sihhh. Sama2in ?"
2021-11-29 12:45:31+00:00,BM_Contractors,@Othex6 Akun
2021-11-29 12:45:00+00:00,KompasTV,"Bermodal jutaan rupiah, komplotan “Copet Internasional” beroperasi di Ajang Balap Mandalika. Siapa mereka?
 
Ikuti penelusuran @aimanwitjaksono di #AIMAN sesaat lagi, eksklusif di KompasTV!
 
Streaming: https://t.co/rUTSoY7Gv2 https://t.co/JxkpytANNG"
2021-11-29 12:42:00+00:00,BM_Contractors,@S4N_W1B1 Ho o
2021-11-29 12:41:59+00:00,kantahdelser,"#Repost @kementerian.atrbpn
...
Halo #SobATRBPN Kawasan Ekonomi Khusus (KEK) Mandalika terwujud karena adanya pengadaan tanah yang berkualitas.

Yuk kapan kita ke Mandalika Sob!

#ATRBPNKiniLebihBaik
#ATRBPNMajudanModern
#MelayaniProfesionalTerpercaya
#negaRAhadir https://t.co/TMl9KL68Eu"
2021-11-29 12:41:54+00:00,BM_Contractors,@Othex6 Yaqin
2021-11-29 12:41:48+00:00,BM_Contractors,@renost789 Iya
2021-11-29 12:41:44+00:00,BM_Contractors,@Momozaki_Ren Iyakah
2021-11-29 12:37:54+00:00,thejaxmania,"Dah menduga kalo sirkuit mandalika bakal banyak bgt masalahnya. Ketauan bgt mo dapet duit doang, cuma konsultasi sama org pariwisata dan ekonomi, kaga ngelibatin org2 di bidang antropologi, kliminologi, dan ekologi. Sukur."
2021-11-29 12:30:50+00:00,JBonek1927,"@dsuperboy @samsungID ""Gue pake #GalaxyA22 dgn fitur OIS buat Foto Fabio Quartararo saat melaju dengan motornya di MotoGP Mandalika"" pasti jelas hasilnya pake #GalaxyA22 kamera 48MP dg fitur OIS nya https://t.co/nYF6frLN2m"
2021-11-29 12:26:25+00:00,JohnnyTheBoyyyy,@detikcom Ide tebang pohon di Monas mau kau samakan dengan Megaproyek Sirkuit Mandalika? Ngaco!
2021-11-29 12:24:00+00:00,BM_Contractors,Pingin ganti admin
